message,label
"Congratulations! You have been selected for a Google internship. Pay ₹2999 registration fee today to confirm your position. Only 3 seats remaining. Contact HR on WhatsApp.",scam
"URGENT! Amazon is hiring. No experience needed. Earn ₹50000 per month from home. Pay ₹500 registration fee. WhatsApp: 9876543210. Offer expires today!",scam
"Dear candidate, your application for the internship has been shortlisted. Please share your OTP and bank account number to complete verification.",scam
"Infosys BPO hiring freshers. Pay ₹3500 training fee to join. Contact: infosys.hr@gmail.com. Limited seats available!",scam
"Work from home job opportunity. Earn ₹25000 per week. No interview needed. Just pay ₹1000 security deposit. Call now!",scam
"Congratulations! You are selected for TCS internship. Send ₹5000 security deposit to UPI ID within 24 hours to confirm your slot.",scam
"HIRING! Data entry jobs available. Earn ₹800 per hour. No experience required. Pay ₹2000 registration fee to start working immediately.",scam
"Microsoft is hiring freshers. 100% job guarantee. Pay ₹15000 placement fee and get placed in top MNCs within 30 days.",scam
"Urgent opening in Wipro. Salary ₹40000 per month. No interview. Just WhatsApp your resume to confirm selection. Pay ₹2500 joining fee.",scam
"FREE JOB ALERT: Earn ₹500-1000 per day doing simple tasks on your phone. No investment! Join our Telegram group for details.",scam
"We found your profile on Naukri. Apply for this work from home job immediately. Pay ₹999 processing fee via UPI to get started.",scam
"You have been selected for Amazon delivery partner role. Register by paying ₹1500 today. Limited positions. Hurry!",scam
"Part time job: Copy paste work. Earn ₹15000 per month. No experience required. Pay ₹500 registration. Contact on WhatsApp only.",scam
"HDFC Bank is hiring freshers for customer care. Pay ₹2000 uniform and ID card charges to join. Gmail: hdfc.recruitment2024@gmail.com",scam
"Flipkart internship for freshers. Earn ₹30000 per month. No degree required. Pay ₹999 to get your appointment letter. Act fast!",scam
"Investment job: Earn daily profits. Join our WhatsApp group. Pay ₹5000 to activate your trading account. Returns guaranteed.",scam
"Zomato delivery job. Earn ₹600-800 per day. Pay ₹1500 registration fee via Paytm to get your delivery bag and uniform.",scam
"Online survey jobs. Earn ₹2000-5000 per day sitting at home. Registration fee ₹299 only. Join Telegram: t.me/surveyindia",scam
"Dear student, you have been selected for our paid internship program. Please share your Aadhaar number and bank details to process your stipend.",scam
"JOB ALERT! Big MNC hiring freshers. Salary 8LPA. No interview. Just register by paying ₹500 today. Only 5 seats left. Apply immediately!",scam
"Work from home opportunity. Part time. Earn ₹1000 per hour. WhatsApp your CV to 9898989898. Pay small refundable deposit to begin.",scam
"Swiggy delivery executive. Earn ₹1000 per day. Pay ₹2000 joining fee and get your delivery bag. Contact HR on WhatsApp.",scam
"Congratulations! Your resume was shortlisted by Accenture. To proceed, transfer ₹3000 processing fees to account: 12345678. Hurry, seats limited!",scam
"Online teaching job. Teach English online. Earn ₹500 per hour. Pay ₹1000 registration on our website. Start immediately from home.",scam
"Google Pay is giving ₹5000 cashback. Click this link to claim: bit.ly/gpay-free-cash. Share OTP to receive your reward.",scam
"Hi, I am reaching out from Tata Consultancy Services regarding your application on our official careers portal. We would like to invite you for a virtual interview for the Software Engineer Intern position. No fees are required. Contact: careers@tcs.com",legitimate
"Dear Students, XYZ Technologies will be conducting a campus recruitment drive. Package 6 LPA. Registration through college placement portal only. Contact your placement coordinator.",legitimate
"Thank you for applying for the Product Management Intern role at Swiggy. A recruiter from our team at talent@swiggy.in will call you. Paid internship, 20000 per month stipend. No fees involved.",legitimate
"UPSC Civil Services Examination 2024. Apply only through official UPSC portal upsc.gov.in. Application fee: Rs 100 for General, Nil for SC/ST. Beware of fake portals.",legitimate
"We saw your profile on Internshala for a Marketing intern role. Stipend 8000 per month. No fees. Interview: 1 online assessment plus 1 video call. Apply via Internshala.",legitimate
"Your application for the Data Analyst internship at Razorpay has been reviewed. We would like to schedule a technical interview. Please check your email for the link. Stipend: 25000 per month.",legitimate
"Campus placement drive by Infosys. Pre-placement talk on September 20th. Apply through the official college placement portal. Bring original documents. No registration fee.",legitimate
"Thank you for attending our technical interview. We are pleased to extend an internship offer for the Frontend Developer position. Details will be sent to your registered email. Monthly stipend: 15000.",legitimate
"Internship opportunity at a Series B startup in Bangalore. Role: Business Development. Duration: 3 months. Stipend: 10000 per month. Apply on LinkedIn or send your CV to intern@company.com",legitimate
"NASSCOM apprenticeship program for final year students. Apply through the official NASSCOM portal. No fees. Stipend provided. Training from industry experts.",legitimate
"We are conducting a hackathon for engineering students. Prize money: 1 lakh. Register for free at our official website. No registration fee.",legitimate
"Job opening at our company for a junior software developer. 2 years experience required. Apply at our official careers page. No placement fees.",legitimate
"Government job notification from IBPS. Apply online at ibps.in. Application fee details mentioned on official website. Beware of fraudulent websites.",legitimate
"Dear Applicant, your resume has been shortlisted for the HR intern position at Deloitte. Please complete the online aptitude test via the link sent to your email. No fees required.",legitimate
"Congratulations on clearing the first round! You are invited for an in-person interview at our Pune office. Please bring your resume and original documents. No charges apply.",legitimate
"Scholarship for meritorious students from low-income families. Apply through the National Scholarship Portal at scholarships.gov.in. No fees. Documents required: marksheet and income certificate.",legitimate
"Your internship application at Ola has been shortlisted. Next step: online coding assessment. Link sent to your email. Internship stipend: 20000 per month.",legitimate
"Placement drive by Accenture at our college on October 5th. Eligible: BE/BTech final year. Package: 4.5 LPA. Register through the college portal. No fee.",legitimate
"We found your profile on LinkedIn and would like to discuss a junior developer role. Could you share a convenient time for a call? Office location: Hyderabad. Salary: 4-6 LPA depending on experience.",legitimate
"Final year internship program at Bajaj Finserv. 6 months. Stipend: 15000 per month. Apply through our careers page. Shortlisted candidates will be contacted for telephonic interview.",legitimate
"Fake job scam: Pay ₹5000 to get placed in USA. Guaranteed visa. Contact only on Telegram. Limited slots!",scam
"Earn ₹10000 daily by liking YouTube videos. Join our premium membership for ₹2000. WhatsApp us for details.",scam
"Cyber fraud alert: Someone is offering fake RBI jobs. They ask for ₹10000 application fee. Do not fall for this.",scam
"Easy online job: Watch ads and earn. Pay ₹499 to activate your account. Withdraw money after completing tasks.",scam
"Lottery winner! You have won ₹25 lakh. Pay ₹1500 processing fee to claim your prize. Contact immediately.",scam
"Work from home data entry. ₹20 per entry. Earn ₹5000 daily. Pay ₹300 training material fee. Start today!",scam
"Job in Canada guaranteed. Pay agency fee of ₹50000. We handle everything. 100% success rate. WhatsApp now.",scam
"Home based packaging work. Earn ₹500 per packet. Security deposit ₹3000 refundable. Contact on WhatsApp only.",scam
